127.0.0.1 - - [05/May/2026:10:12:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/May/2026:10:12:09 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [05/May/2026:10:12:09 +0530] "GET /EcomStore/assets/css/modern-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:10:12:09 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:10:12:09 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [05/May/2026:10:12:09 +0530] "GET /EcomStore/assets/js/modern-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:10:12:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/May/2026:10:14:47 +0530] "GET /EcomStore/product HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [05/May/2026:10:14:47 +0530] "GET /EcomStore/product HTTP/1.1" 200 36234
0:0:0:0:0:0:0:1 - - [05/May/2026:10:14:47 +0530] "GET /EcomStore/assets/css/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:40 +0530] "GET /EcomStore/product HTTP/1.1" 200 36234
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:40 +0530] "GET /EcomStore/assets/css/product.css HTTP/1.1" 200 5122
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:40 +0530] "GET /EcomStore/assets/css/modern-ui.css HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:40 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 200 4089
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:43 +0530] "GET /EcomStore/assets/js/modern-ui.js HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:51 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 6860
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:51 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [05/May/2026:10:19:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/May/2026:10:20:55 +0530] "GET /EcomStore/views/user/home.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [05/May/2026:10:20:55 +0530] "GET /EcomStore/assets/css/modern-ui.css HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [05/May/2026:10:20:56 +0530] "GET /EcomStore/src/main/webapp/assets/images/kurti.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [05/May/2026:10:20:56 +0530] "GET /EcomStore/assets/css/style.css HTTP/1.1" 200 4089
0:0:0:0:0:0:0:1 - - [05/May/2026:10:20:56 +0530] "GET /EcomStore/assets/js/modern-ui.js HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [05/May/2026:10:20:59 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/May/2026:10:23:37 +0530] "GET /EcomStore/product HTTP/1.1" 200 36230
0:0:0:0:0:0:0:1 - - [05/May/2026:10:23:40 +0530] "GET /EcomStore/login HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [05/May/2026:10:23:40 +0530] "GET /EcomStore/assets/css/auth.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:10:26:54 +0530] "GET /EcomStore/login HTTP/1.1" 200 1871
